[2018-06-03 22:24:00,885]-[log.py]-INFO:输入密码
[2018-06-03 22:24:01,155]-[log.py]-INFO:点击“保持登录”
[2018-06-03 22:24:01,368]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 22:24:07,686]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-03 22:24:11,258]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-03 22:24:11,570]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-03 22:24:14,392]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-03 22:24:19,240]-[log.py]-INFO:输入“用户名”
[2018-06-03 22:24:19,508]-[log.py]-INFO:输入“真实姓名”
[2018-06-03 22:24:19,777]-[log.py]-INFO:性别选择“女”
[2018-06-03 22:24:20,060]-[log.py]-INFO:部门选择“销售”
[2018-06-03 22:24:20,342]-[log.py]-INFO:角色选择“销售”
[2018-06-03 22:24:20,642]-[log.py]-INFO:输入密码
[2018-06-03 22:24:20,925]-[log.py]-INFO:再次输入密码
[2018-06-03 22:24:21,352]-[log.py]-INFO:输入邮箱
[2018-06-03 22:24:21,714]-[log.py]-INFO:点击“提交”按钮
[2018-06-03 22:24:22,271]-[log.py]-INFO:退出“后台管理”框架
[2018-06-03 22:24:25,368]-[log.py]-INFO:进入“后台管理”框架
[2018-06-03 22:24:26,706]-[log.py]-INFO:成功获取到成员列表页面的所有用户名
[2018-06-03 22:24:27,231]-[log.py]-INFO:成功退出“后台管理”框架
[2018-06-03 22:35:01,733]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-03 22:35:02,565]-[log.py]-INFO:成功选择简体中文
[2018-06-03 22:35:06,249]-[log.py]-INFO:输入用户名
[2018-06-03 22:35:06,519]-[log.py]-INFO:输入密码
[2018-06-03 22:35:06,703]-[log.py]-INFO:点击“保持登录”
[2018-06-03 22:35:06,916]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 22:35:12,440]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-03 22:35:16,111]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-03 22:35:16,419]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-03 22:35:19,227]-[log.py]-INFO:成功点击“新增用户”按钮
